Date,Price,Open,High,Low,Vol.,Change %
Oct 30 2018,24874.64,24482.04,24906.68,24415.69,470.05,0.0177
Oct 29 2018,24442.92,24818.98,25040.58,24122.23,443.85,-0.0099
Oct 26 2018,24688.31,24770.25,24916.16,24445.19,505.31,-0.0119
Oct 25 2018,24984.55,24736.54,25104.29,24645.56,439.67,0.0163
Oct 24 2018,24583.42,25172.88,25306.23,24533.19,496.40,-0.0241
Oct 23 2018,25191.43,25038.46,25307.7,24768.79,436.43,-0.005
Oct 22 2018,25317.41,25492.14,25561.34,25236.05,314.94,-0.005
Oct 19 2018,25444.34,25421.09,25608.71,25350.02,350.81,0.0026
Oct 18 2018,25379.45,25645.56,25691.46,25236.01,328.02,-0.0127
Oct 17 2018,25706.68,25705.87,25810.09,25479.16,298.21,-0.0036
Oct 16 2018,25798.42,25351.53,25817.68,25351.53,305.80,0.0217
Oct 15 2018,25250.55,25332.46,25482.42,25243.88,287.32,-0.0035
Oct 12 2018,25339.99,25407.63,25467.55,25000.83,397.51,0.0115
Oct 11 2018,25052.83,25518.39,25683.64,24899.77,522.88,-0.0213
Oct 10 2018,25598.74,26441.73,26441.73,25593.65,438.20,-0.0315
Oct 09 2018,26430.57,26469.19,26539.94,26324.16,282.56,-0.0021
Oct 08 2018,26486.78,26399.45,26529.35,26223.09,273.02,0.0015
Oct 05 2018,26447.05,26632.77,26676.16,26301.81,267.10,-0.0068
Oct 04 2018,26627.48,26784.08,26793.82,26471.61,289.60,-0.0075
Oct 03 2018,26828.39,26833.47,26951.81,26789.08,280.13,0.002
Oct 02 2018,26773.94,26648.91,26824.78,26627.66,258.29,0.0046
Oct 01 2018,26651.21,26598.36,26737.98,26596.05,238.32,0.0073
Sep 28 2018,26458.31,26407.66,26515.76,26383.57,264.03,0.0007
Sep 27 2018,26439.93,26418.27,26557.01,26379.95,226.35,0.0021
Sep 26 2018,26385.28,26536.86,26606.09,26349.34,262.62,-0.004
Sep 25 2018,26492.21,26601.58,26634.85,26475.58,234.11,-0.0026
Sep 24 2018,26562.05,26705.25,26709.94,26548.68,254.85,-0.0068
Sep 21 2018,26743.5,26726.25,26769.16,26680.37,657.62,0.0032
Sep 20 2018,26656.98,26519.39,26697.49,26519.39,260.48,0.0095
Sep 19 2018,26405.76,26287.84,26464.41,26280.76,251.33,0.0061
Sep 18 2018,26246.96,26076.21,26317.34,26076.21,243.00,0.0071
Sep 17 2018,26062.12,26151.66,26184.47,26030.35,230.23,-0.0035
Sep 14 2018,26154.67,26169.56,26211.11,26068.29,228.64,0.0003
Sep 13 2018,26145.99,26083.94,26191.64,26067.08,260.80,0.0057
Sep 12 2018,25998.92,25989.07,26145.72,25929.43,282.77,0.0011
Sep 11 2018,25971.06,25841.14,26019.92,25754.32,265.96,0.0044
Sep 10 2018,25857.07,25991.91,26039.96,25854.13,252.17,-0.0023
Sep 07 2018,25916.54,25951.02,26002.99,25818.39,281.35,-0.0031
Sep 06 2018,25995.87,25973.02,26073.68,25880.84,262.38,0.0008
Sep 05 2018,25974.99,25919.84,26011.22,25871.04,289.21,0.0009
Sep 04 2018,25952.48,25916.07,25971.77,25805.95,254.60,-0.0005
Aug 31 2018,25964.82,25964.85,26028.83,25879.77,273.44,-0.0009
Aug 30 2018,25986.92,26099.01,26104.37,25934.8,240.44,-0.0053
Aug 29 2018,26124.57,26082.53,26167.94,26035.3,214.96,0.0023
Aug 28 2018,26064.02,26092.7,26122.24,26037.85,211.47,0.0006
Aug 27 2018,26049.64,25882.71,26067.57,25882.71,220.51,0.0101
Aug 24 2018,25790.35,25688.58,25826.05,25688.58,200.33,0.0052
Aug 23 2018,25656.98,25714.86,25762.56,25608.02,213.27,-0.003
Aug 22 2018,25733.6,25825.06,25836.16,25722.43,200.48,-0.0034
Aug 21 2018,25822.29,25786.99,25888.82,25784.9,241.62,0.0025
Aug 20 2018,25758.69,25727.7,25790.17,25716.41,248.57,0.0035
Aug 17 2018,25669.32,25550.8,25728.16,25521.66,284.16,0.0043
Aug 16 2018,25558.73,25294.97,25607.34,25294.97,342.43,0.0158
Aug 15 2018,25162.41,25235.37,25235.37,24965.77,295.81,-0.0054
Aug 14 2018,25299.92,25215.69,25339.51,25201.87,219.21,0.0045
Aug 13 2018,25187.7,25327.19,25381.39,25153.93,219.99,-0.005
Aug 10 2018,25313.14,25401.19,25401.19,25222.88,234.48,-0.0077
Aug 09 2018,25509.23,25589.79,25613.31,25492.69,214.97,-0.0029
Aug 08 2018,25583.75,25615.72,25634.11,25557.48,217.77,-0.0018
Aug 07 2018,25628.91,25551.65,25692.72,25551.65,239.91,0.005
Aug 06 2018,25502.18,25437.43,25540.02,25381.38,238.99,0.0016
Aug 03 2018,25462.58,25360.37,25467.9,25325.17,239.02,0.0054
Aug 02 2018,25326.16,25256.45,25360.48,25120.07,307.70,-0.0003
Aug 01 2018,25333.82,25461.63,25488.8,25278.32,315.88,-0.0032
Jul 31 2018,25415.19,25345.21,25490.98,25345.21,348.70,0.0043
Jul 30 2018,25306.83,25439.32,25500.16,25287.38,296.88,-0.0057
Jul 27 2018,25451.06,25520.52,25580.22,25370.07,329.68,-0.003
Jul 26 2018,25527.07,25468.55,25587.24,25463.16,297.53,0.0044
Jul 25 2018,25414.1,25183.7,25432.87,25113.55,273.67,0.0068
